Trial,Target_Env,Fold,Pearson_r,Valid_N
AWY1_DVPWA_2024,Davenport_2023,1,0.179613375,7
AWY1_DVPWA_2024,Davenport_2023,2,-0.323880146,7
AWY1_DVPWA_2024,Davenport_2023,3,0.480819343,7
AWY1_DVPWA_2024,Davenport_2023,4,0.352973893,7
AWY1_DVPWA_2024,Davenport_2023,5,0.347129116,6
AWY1_DVPWA_2024,Lind_2023,1,0.704228338,10
AWY1_DVPWA_2024,Lind_2023,2,0.614215548,10
AWY1_DVPWA_2024,Lind_2023,3,0.079961166,9
AWY1_DVPWA_2024,Lind_2023,4,0.467651586,9
AWY1_DVPWA_2024,Lind_2023,5,0.398451362,9
AWY1_DVPWA_2024,Pullman_2024,1,0.487272885,7
AWY1_DVPWA_2024,Pullman_2024,2,0.580884946,7
AWY1_DVPWA_2024,Pullman_2024,3,0.114354244,7
AWY1_DVPWA_2024,Pullman_2024,4,0.565280123,7
AWY1_DVPWA_2024,Pullman_2024,5,0.279676998,6
