"focal_trial","studyDbId","name","location","year","program","isFocal","nb_genos","prop_geno","best_protocol","best_protocol_id","best_project","best_project_id","vcf_file_name","out_file","downloaded"
9454,"23_AYTRed_SVREC","Saginaw Valley Research and Extension Center","MI",2023,"Michigan State University",FALSE,40,5,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_9454_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10015,"24_MSU_AYT_SVREC","Saginaw Valley Research and Extension Center","MI",2024,"Michigan State University",FALSE,48,8.33333333333333,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10015_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10255,"25_Big6_Core_FHB_FHB","East Lansing","MI",2025,"Michigan State University",FALSE,118,97.4576271186441,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10255_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10258,"25_MSU_AYT_MI_ALLMI","Allegan County","MI",2025,"Michigan State University",FALSE,40,47.5,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10258_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10250,"25_MSU_AYT_MI_CENMI","Central","MI",2025,"Michigan State University",FALSE,40,47.5,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10250_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10246,"25_MSU_AYT_MI_FHB","East Lansing","MI",2025,"Michigan State University",FALSE,40,47.5,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10246_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10259,"25_MSU_AYT_MI_HURMI","Huron County","MI",2025,"Michigan State University",FALSE,40,47.5,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10259_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10252,"25_MSU_AYT_MI_MONMI","Monroe County","MI",2025,"Michigan State University",FALSE,40,47.5,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10252_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10263,"25_MSU_AYT_MI_SANMI","Sanilac County","MI",2025,"Michigan State University",FALSE,40,47.5,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10263_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10261,"25_MSU_AYT_Regional_CENIL","Centralia","IL",2025,"Michigan State University",FALSE,20,95,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10261_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10249,"25_MSU_AYT_Regional_CHAIL","Champaign","IL",2025,"Michigan State University",FALSE,20,95,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10249_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10254,"25_MSU_AYT_Regional_HENKY","Henderson","KY",2025,"Michigan State University",FALSE,20,95,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10254_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10247,"25_MSU_AYT_Regional_HMLIL","Hamel","IL",2025,"Michigan State University",FALSE,20,95,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10247_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10257,"25_MSU_AYT_Regional_HOPKY","Hopkinsville","KY",2025,"Michigan State University",FALSE,20,95,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10257_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10256,"25_MSU_AYT_Regional_NAPOH","Napoleon","OH",2025,"Michigan State University",FALSE,20,95,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10256_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
10264,"25_MSU_AYT_Regional_TIFOH","Tiffin","OH",2025,"Michigan State University",FALSE,20,95,"ThermoFisher AgriSeq 4K","296","BIGSIX_2024_AgriSeq_4K","10684","2025-12-12_19:42:54_file8tAQ","/Users/marcos/Documents/GitHub/Predictathon/data/genotypic/25_Big6_SVREC_SVREC/nonFocal/michigan_state_university/trial_10264_prot_296_proj_10684_2025-12-12_19:42:54_file8tAQ.vcf.gz",TRUE
