observationUnitName,germplasmDbId,observationVariableDbId,germplasmName,value,observationDbId,collector,uploadedBy,studyDbId,observationVariableName,observationUnitDbId,observationTimeStamp
AHR1_HRW_2022_Davenport_PLOT1,1559386,84527,Sequoia,4154,4897584,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571010,NA
AHR1_HRW_2022_Davenport_PLOT10,1554938,84527,HRW14082-B-B-1-8,4891,4720801,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570983,NA
AHR1_HRW_2022_Davenport_PLOT11,1560608,84527,WA 8318 CL+,4824,4731602,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570974,NA
AHR1_HRW_2022_Davenport_PLOT12,1554780,84527,HRW13180-1-1-1-2,4020,4733482,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571013,NA
AHR1_HRW_2022_Davenport_PLOT13,1558822,84527,Scorpio,5494,4843532,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571000,NA
AHR1_HRW_2022_Davenport_PLOT14,1554037,84527,HRW13016-B-1-B-1,4355,4757667,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570979,NA
AHR1_HRW_2022_Davenport_PLOT15,1559105,84527,LCS Jet,4623,4733181,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570962,NA
AHR1_HRW_2022_Davenport_PLOT16,1554685,84527,HRW14093-B-B-1-1,4958,4745696,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570990,NA
AHR1_HRW_2022_Davenport_PLOT17,1554347,84527,HRTW15153-DH-12,4623,4834281,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570973,NA
AHR1_HRW_2022_Davenport_PLOT18,1559948,84527,WA 8396,5494,4785206,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570952,NA
AHR1_HRW_2022_Davenport_PLOT19,1560040,84527,WA 8309,5628,4860441,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570985,NA
AHR1_HRW_2022_Davenport_PLOT2,1554757,84527,HRW14055-DH-24,5360,4782734,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570959,NA
AHR1_HRW_2022_Davenport_PLOT20,232455,84527,KELDIN,5226,4711849,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570950,NA
AHR1_HRW_2022_Davenport_PLOT21,1554951,84527,HRW14015-DH-41,5762,4877354,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570999,NA
AHR1_HRW_2022_Davenport_PLOT22,1559945,84527,WA 8303,6700,4874464,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570967,NA
AHR1_HRW_2022_Davenport_PLOT23,1554337,84527,HRW12126-B-B-B-7L,5092,4879067,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571015,NA
AHR1_HRW_2022_Davenport_PLOT24,1560290,84527,WB-Arrowhead,5695,4757907,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570996,NA
AHR1_HRW_2022_Davenport_PLOT25,1555521,84527,HRW12133-B-B-B-2,4556,4860277,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570951,NA
AHR1_HRW_2022_Davenport_PLOT26,1554757,84527,HRW14055-DH-24,6030,4780086,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571009,NA
AHR1_HRW_2022_Davenport_PLOT27,1560608,84527,WA 8318 CL+,5092,4719759,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570988,NA
AHR1_HRW_2022_Davenport_PLOT28,1559386,84527,Sequoia,4690,4758800,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570949,NA
AHR1_HRW_2022_Davenport_PLOT29,1554037,84527,HRW13016-B-1-B-1,4422,4729873,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570994,NA
AHR1_HRW_2022_Davenport_PLOT3,1560534,84527,WA 8310,6164,4873960,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570989,NA
