germplasmName,BLUE,SE,n
AMERICAN_BANNER,2375.79736421624,868.213431191828,1
ARROW,3225.93858121495,843.289963327413,2
AVON,2329.98813271496,843.289963327412,2
BATAVIA,3531.49081687947,834.53715790892,3
BRIDGEPORT-270,4199.75505971237,842.972326997161,2
CAL4PHS-6-271,3850.69564721624,868.213431191829,1
CALEDONIA,3944.52386744483,820.067866369803,20
CALEDONIA_RESELECT-L-263,3766.47326171237,842.972326997162,2
CALEDONIA_RESELECT-L-R-1073,3865.34543701633,868.366752468339,1
CALEDONIA_RESELECT-L-W-1072,4053.51805851439,843.363648433154,2
CAYUGA,3610.4426642128,834.53715790892,3
CORNELL595,2867.84256121496,843.289963327412,2
DAWSONGOLDENCHAFF,2136.36781721624,868.213431191828,1
E0028-268,3951.25126761338,830.021511671026,4
E2041-605,3903.03896161241,842.932786010126,2
E6019A-604,3714.4916352085,868.130133190242,1
F0013R,4391.34543701632,868.366752468339,1
F1014,3281.34543701632,868.366752468339,1
F1026R,4258.34543701632,868.366752468339,1
F1029,4010.34543701631,868.366752468339,1
F1047,3647.34543701632,868.366752468339,1
F1049,3842.34543701632,868.366752468338,1
F1051,4156.34543701632,868.366752468339,1
F2002,3539.34543701632,868.366752468339,1
F2004,4197.34543701632,868.366752468338,1
F2006,4078.34543701632,868.36675246834,1
F2008,3917.34543701632,868.366752468339,1
F2010,3579.34543701632,868.366752468338,1
F2012,3933.34543701632,868.366752468339,1
F2014R,3986.34543701632,868.366752468339,1
F2016,3888.34543701632,868.366752468339,1
F2018,3811.34543701632,868.366752468339,1
F2020,3939.34543701632,868.366752468338,1
F2022,3809.34543701632,868.366752468339,1
F2024R,3847.34543701632,868.366752468339,1
F2026,3956.34543701632,868.366752468339,1
F2028R,4040.34543701632,868.366752468338,1
F2031,4120.34543701631,868.366752468338,1
F2033,3887.34543701633,868.366752468339,1
F2035,3955.34543701632,868.366752468339,1
F2037,4013.34543701632,868.366752468339,1
F2039,3896.34543701632,868.366752468338,1
F2041,3812.34543701632,868.366752468339,1
FORWARD,3121.70146171496,843.289963327412,2
FULCASTER4862,1793.37409521624,868.213431191829,1
GA011174-8A9-632,4125.64871661048,842.93235244194,2
GENESEE,3184.98503721496,843.289963327412,2
GENESEE_GIANT,2107.86590121624,868.213431191829,1
GENEVA,3524.43639354614,834.537157908919,3
GOLDCOIN,2427.27352321624,868.213431191828,1
GOLDEN,2042.41008521624,868.213431191828,1
GRANDPRIZE,2450.58437221624,868.213431191828,1
HONOR,1765.96007471496,843.289963327412,2
HOPKINS,3956.22951914573,834.281020084713,3
HOUSER,3475.78580766272,830.027301092352,4
IL04-24668-1058,3915.34543701632,868.366752468338,1
IL05-4236-633,3905.7122052085,868.130133190242,1
IL06-14262-1060,4021.46668001247,868.359069031021,1
JENSEN-262,3880.71067531292,823.836904640977,8
JONES_FIFE,3056.38332721625,868.213431191829,1
LONGBERRY#1,2014.28355521624,868.213431191829,1
MARTIN,1880.86280321624,868.213431191828,1
MD01W270-08-12-622,4275.34543701632,868.366752468339,1
MEDINA-264,3928.812617457,820.299669213514,19
