germplasmName,BLUE,SE,n
EXPEDITION,4275.39522887423,296.862083151061,8
IDEAL,5038.61197183229,431.038398243357,3
KELDIN,4744.34718309939,350.996358317726,5
OVERLAND,4814.56647887423,296.862083151061,8
REDFIELD,4607.57408450329,433.320742375005,3
SD ANDES,5194.92391549679,354.018403145246,5
SD18B010-29,3271.5240845033,515.571683455433,2
SD18B016-5,5023.42408450329,515.571683455433,2
SD18B017-6,4600.23545774841,383.508406412476,4
SD18B055-2,4371.07408450329,515.571683455433,2
SD18B061-4,4801.4740845033,515.571683455433,2
SD18B062-12,4448.4240845033,515.571683455433,2
SD18B134-16,4554.40518309939,350.996358317726,5
SD18D035-6,4598.60741783663,433.320742375005,3
SD18D037-11,4724.14075116996,433.320742375005,3
SD18D042-3,3787.10741783663,433.320742375005,3
SD18D043-5,4286.9740845033,433.320742375005,3
SD18D074-11,4263.47408450329,515.571683455433,2
SD18D080-2,5109.70741783663,433.320742375005,3
SD19B002-1,4387.8740845033,433.320742375004,3
SD19B004-1,4330.80333333337,327.872246652605,6
SD19B011-2,4367.67408450329,515.571683455433,2
SD19B016-1,4659.10741783663,433.320742375005,3
SD19B020-2,4502.2240845033,515.571683455433,2
SD19B024-2,4670.34075116996,433.320742375005,3
SD19B051-3,3675.00741783663,433.320742375005,3
SD19B057-1,4529.10741783663,433.320742375005,3
SD19B087-1,4531.34075116996,433.320742375004,3
SD19B089-3,4672.28500000004,327.872246652605,6
SD19B104-2,4327.3740845033,433.320742375005,3
SD19B108-3,4571.70741783663,433.320742375005,3
SD19B136-3,4650.14075116996,433.320742375004,3
SD19B153-2,4181.60741783663,433.320742375005,3
SD19B162-1,3818.4740845033,433.320742375005,3
SD19B164-3,4596.34075116996,433.320742375005,3
SD19B176-2,4123.34075116996,433.320742375004,3
SD19B183-1,4414.7740845033,433.320742375005,3
SD19C008-3,4237.6740845033,433.320742375004,3
SD19C0114-3,4502.2240845033,515.571683455433,2
SD19D086-4,4616.52408450329,515.571683455433,2
SD19D133-4,4410.30741783663,433.320742375005,3
SD19D154-2,4387.87408450329,515.571683455433,2
SD19D173-5,4118.87408450329,515.571683455433,2
SD20B004-5,4128.9240845033,515.571683455433,2
SD20B006-2,4814.15518309939,350.996358317726,5
SD20B007-2,4461.8240845033,515.571683455433,2
SD20B007-8,4834.56718309939,350.996358317726,5
SD20B008-6,4636.7240845033,515.571683455433,2
SD20B008-7,4586.2740845033,515.571683455433,2
SD20B009-2,4724.1240845033,515.571683455433,2
SD20B009-3,4340.7740845033,515.571683455433,2
SD20B010-4,4869.47718309938,350.996358317726,5
SD20B011-4,4233.17408450329,515.571683455433,2
SD20B012-1,4752.68518309939,350.996358317726,5
SD20B012-2,4229.8240845033,515.571683455433,2
SD20B012-7,4876.84863849896,431.038398243357,3
SD20B021-7,4845.1740845033,707.075700195532,1
SD20B023-1,3601.07408450329,707.075700195532,1
SD20B024-7,3738.92408450329,515.571683455433,2
SD20B025-2,4276.9240845033,515.571683455433,2
SD20B025-6,3960.87408450329,515.571683455433,2
SD20B026-5,4734.2240845033,515.571683455433,2
SD20B026-7,4915.77408450329,515.571683455433,2
SD20B027-1,4674.48718309939,350.996358317726,5
SD20B027-10,4075.1740845033,515.571683455433,2
SD20B027-9,4874.06500000004,382.784348725687,4
SD20B029-1,3977.6240845033,515.571683455433,2
SD20B032-3,4932.6240845033,515.571683455433,2
SD20B033-5,4724.12408450329,515.571683455433,2
SD20B035-3,4061.6740845033,515.571683455433,2
SD20B035-5,4492.0740845033,515.571683455433,2
SD20B036-4,4334.07408450329,515.571683455433,2
SD20B036-7,3870.0240845033,515.571683455433,2
SD20B038-7,4821.6740845033,515.571683455433,2
SD20B042-1,4835.1240845033,515.571683455433,2
SD20B044-3,4229.8240845033,515.571683455433,2
SD20B044-4,4796.55750000004,382.784348725687,4
SD20B046-1,4360.53118309939,350.996358317726,5
SD20B046-4,4095.32408450329,515.571683455433,2
SD20B053-5,4139.0740845033,515.571683455433,2
SD20B054-2,4404.7240845033,515.571683455433,2
SD20B056-3,4418.17408450329,515.571683455433,2
SD20B057-1,4359.56918309939,350.996358317726,5
SD20B057-9,4048.27408450329,515.571683455433,2
SD20B059-6,4629.9740845033,515.571683455433,2
SD20B061-8,4771.1740845033,707.075700195532,1
SD20B062-3,4569.4740845033,707.075700195532,1
SD20B064-8,4004.57408450329,515.571683455433,2
SD20B065-2,4545.9240845033,515.571683455433,2
SD20B065-4,4656.87408450329,515.571683455433,2
SD20B069-3,4458.5240845033,515.571683455433,2
SD20B070-5,4883.15918309939,350.996358317726,5
SD20B073-3,4253.3740845033,515.571683455433,2
SD20B073-5,4367.7240845033,515.571683455433,2
SD20B080-3,5231.8740845033,515.571683455433,2
SD20B085-1,5013.3240845033,515.571683455433,2
SD20B085-1W,4809.70258216345,433.320742375005,3
SD20B086-1,4634.23518309938,350.996358317726,5
SD20B088-2,4838.4240845033,515.571683455433,2
SD20B096-4,4922.52408450329,515.571683455433,2
SD20B097-9,4989.7740845033,515.571683455433,2
SD20B098-1,4831.72408450329,515.571683455433,2
SD20B098-3,4260.1240845033,515.571683455433,2
SD20B098-5,4659.88318309939,350.996358317726,5
SD20B102-1,4576.1740845033,515.571683455433,2
SD20B109-1,4051.57408450329,515.571683455433,2
SD20B111-7,5114.17408450329,515.571683455433,2
SD20B117-2,4313.87408450329,515.571683455433,2
SD20B120-2,4614.28718309939,350.996358317726,5
SD20B124-10,4297.07408450329,515.571683455433,2
SD20B127-6,4424.87408450329,515.571683455433,2
SD20B129-8,3190.82408450329,515.571683455433,2
SD20B134-10,4424.87408450329,515.571683455433,2
SD20B134-3,4863.60750000004,382.784348725687,4
SD20B134-4,4351.61718309939,350.996358317726,5
SD20B137-2,3385.82408450329,515.571683455433,2
SD20B138-1,4471.9240845033,515.571683455433,2
SD20B140-6,4824.41918309939,350.996358317726,5
SD20B147-6,4233.1740845033,515.571683455433,2
SD20C005-1,4660.22408450329,515.571683455433,2
SD20C012-4,4747.6740845033,515.571683455433,2
SD20C031-1,4818.87918309939,350.996358317726,5
SD20C051-5,5080.5740845033,515.571683455433,2
SD20C079-1,4340.77408450329,515.571683455433,2
SD20C080-2,3886.8240845033,515.571683455433,2
SD20D005-12,4740.9740845033,515.571683455433,2
SD20D008-3,5262.12408450329,515.571683455433,2
SD20D008-4,4757.72408450329,515.571683455433,2
SD20D009-3,4907.93750000004,382.784348725687,4
SD20D009-9,5262.38318309939,350.996358317726,5
SD20D016-3,4661.50718309939,350.996358317726,5
SD20D017-7,4626.6240845033,515.571683455433,2
SD20D027-4,5026.7240845033,515.571683455433,2
SD20D028-2,4976.32408450329,515.571683455433,2
SD20D030-1,4383.36918309939,350.996358317726,5
SD20D031-4,4568.84518309939,350.996358317726,5
SD20D033-2,4434.97408450329,515.571683455433,2
SD20D034-4,5164.6240845033,515.571683455433,2
SD20D034-5,4656.87408450329,515.571683455433,2
SD20D036-7,5017.77750000004,382.784348725687,4
SD20D040-7,4798.1240845033,515.571683455433,2
SD20D042-5,4586.45518309939,350.996358317726,5
SD20D046-6,4747.82518309939,350.996358317726,5
SD20D063-2,5110.8240845033,515.571683455433,2
SD20D063-2W,5141.89258216345,433.320742375005,3
SD20D064-3,5226.33318309939,350.996358317726,5
SD20D064-4,4997.78918309939,350.996358317726,5
SD20D085-4,4650.12408450329,515.571683455433,2
SD20D095-4,4744.3240845033,515.571683455433,2
SD20D099-4,4421.4740845033,515.571683455433,2
SD20D100-9,5642.0740845033,515.571683455433,2
SD20D101-1,4488.76518309939,350.996358317726,5
SD20D107-4,4831.72408450329,515.571683455433,2
SD20D108-6,5023.17918309939,350.996358317726,5
SD20D110-2,5275.6240845033,515.571683455433,2
SD20D112-4,4895.62408450329,515.571683455433,2
SD20D120-2,4408.0740845033,515.571683455433,2
SD20D120-4,5151.1740845033,515.571683455433,2
SD21B001-6,5053.91591549679,515.571683455433,2
SD21B005-1,5044.86091549678,515.571683455433,2
